year,series_id,return_decimal
2013,usBonds,-0.091045687943
2014,usBonds,0.107461804520
2015,usBonds,0.012842996710
2016,usBonds,0.006905504699
2017,usBonds,0.028017162708
2018,usBonds,-0.000166923857
2019,usBonds,0.096356307415
2020,usBonds,0.113318976466
2021,usBonds,-0.044160344486
2022,usBonds,-0.178281715383
2023,usBonds,0.038800000000
2024,usBonds,-0.016371801437
2025,usBonds,0.077954808708
1991,international,0.094500000000
1992,international,-0.153700000000
1993,international,0.301900000000
1994,international,0.100000000000
1995,international,0.084200000000
1996,international,0.058600000000
1997,international,-0.004900000000
1998,international,0.168000000000
1999,international,0.366400000000
2000,international,-0.164400000000
2001,international,-0.211100000000
2002,international,-0.119700000000
2003,international,0.439100000000
2004,international,0.226900000000
2005,international,0.168000000000
2006,international,0.255200000000
2007,international,0.130200000000
2008,international,-0.428000000000
2009,international,0.335400000000
2010,international,0.118900000000
2011,international,-0.126000000000
2012,international,0.172900000000
2013,international,0.230200000000
2014,international,-0.045200000000
2015,international,-0.007600000000
2016,international,0.032900000000
2017,international,0.271200000000
2018,international,-0.140000000000
2019,international,0.218800000000
2020,international,0.106000000000
2021,international,0.121500000000
2022,international,-0.150400000000
2023,international,0.160600000000
2024,international,0.035900000000
2025,international,0.319200000000
1928,cash,0.030800000000
1929,cash,0.031600000000
1930,cash,0.045500000000
1931,cash,0.023100000000
1932,cash,0.010700000000
1933,cash,0.009600000000
1934,cash,0.002783333333
1935,cash,0.001675000000
1936,cash,0.001725000000
1937,cash,0.002758333333
1938,cash,0.000650000000
1939,cash,0.000458333333
1940,cash,0.000358333333
1941,cash,0.001291666667
1942,cash,0.003425000000
1943,cash,0.003800000000
1944,cash,0.003800000000
1945,cash,0.003800000000
1946,cash,0.003800000000
1947,cash,0.006008333333
1948,cash,0.010450000000
1949,cash,0.011150000000
1950,cash,0.012033333333
1951,cash,0.015175000000
1952,cash,0.017225000000
1953,cash,0.018908333333
1954,cash,0.009375200000
1955,cash,0.017243426295
1956,cash,0.026213888889
1957,cash,0.032245669291
1958,cash,0.017665461847
1959,cash,0.033860159363
1960,cash,0.028729718876
1961,cash,0.023524899598
1962,cash,0.027723694779
1963,cash,0.031560240964
1964,cash,0.035457370518
1965,cash,0.039490763052
1966,cash,0.048557200000
1967,cash,0.042934538153
1968,cash,0.053376000000
1969,cash,0.066684677419
1970,cash,0.063910000000
1971,cash,0.043342570281
1972,cash,0.040618400000
1973,cash,0.070354435484
1974,cash,0.078457831325
1975,cash,0.057863855422
1976,cash,0.049766000000
1977,cash,0.052609638554
1978,cash,0.071783064516
1979,cash,0.100542741935
1980,cash,0.113918800000
1981,cash,0.140361847390
1982,cash,0.110900000000
1983,cash,0.089500000000
1984,cash,0.099200000000
1985,cash,0.077200000000
1986,cash,0.061500000000
1987,cash,0.059600000000
1988,cash,0.068900000000
1989,cash,0.083900000000
1990,cash,0.077500000000
1991,cash,0.055400000000
1992,cash,0.035100000000
1993,cash,0.030700000000
1994,cash,0.043700000000
1995,cash,0.056600000000
1996,cash,0.051500000000
1997,cash,0.052000000000
1998,cash,0.049100000000
1999,cash,0.047800000000
2000,cash,0.060000000000
2001,cash,0.034800000000
2002,cash,0.016400000000
2003,cash,0.010300000000
2004,cash,0.014000000000
2005,cash,0.032200000000
2006,cash,0.048500000000
2007,cash,0.044800000000
2008,cash,0.014000000000
2009,cash,0.001500000000
2010,cash,0.001400000000
2011,cash,0.000500000000
2012,cash,0.000900000000
2013,cash,0.000600000000
2014,cash,0.000300000000
2015,cash,0.000500000000
2016,cash,0.003200000000
2017,cash,0.009500000000
2018,cash,0.019700000000
2019,cash,0.021100000000
2020,cash,0.003600000000
