year,usStocks,usBonds,international,cash,technology,inflation
1991,0.302348431349,0.150045100195,0.094500000000,0.055400000000,0.154700000000,0.030642800000
1992,0.074937279724,0.093616373162,-0.153700000000,0.035100000000,0.098900000000,0.029006500000
1993,0.099670514792,0.142109575893,0.301900000000,0.030700000000,0.254100000000,0.027484100000
1994,0.013259206775,-0.080366555510,0.100000000000,0.043700000000,0.164300000000,0.026749000000
1995,0.371951989026,0.234807801125,0.084200000000,0.056600000000,0.423400000000,0.025384100000
1996,0.226809660189,0.014286077934,0.058600000000,0.051500000000,0.330600000000,0.033224800000
1997,0.331036531037,0.099391302730,-0.004900000000,0.052000000000,0.188100000000,0.017024000000
1998,0.283379532784,0.149214319226,0.168000000000,0.049100000000,0.583500000000,0.016119000000
1999,0.208853509921,-0.082542147963,0.366400000000,0.047800000000,0.862000000000,0.026845600000
2000,-0.090318189552,0.166552671254,-0.164400000000,0.060000000000,-0.295500000000,0.033868100000
2001,-0.118497591420,0.055721811892,-0.211100000000,0.034800000000,-0.365900000000,0.015517200000
2002,-0.219660479579,0.151164003781,-0.119700000000,0.016400000000,-0.415000000000,0.023769100000
2003,0.283558000500,0.003753185882,0.439100000000,0.010300000000,0.680100000000,0.018794900000
2004,0.107427759441,0.044906837023,0.226900000000,0.014000000000,-0.021800000000,0.032555600000
2005,0.048344775233,0.028675329598,0.168000000000,0.032200000000,0.047900000000,0.034156600000
2006,0.156125579793,0.019610012418,0.255200000000,0.048500000000,0.089500000000,0.025406500000
2007,0.054847352464,0.102099219300,0.130200000000,0.044800000000,0.159300000000,0.040812700000
2008,-0.365523441118,0.201012799270,-0.428000000000,0.014000000000,-0.441900000000,0.000914100000
2009,0.259352338777,-0.111166953133,0.335400000000,0.001500000000,0.586900000000,0.027213300000
2010,0.148210922787,0.084629338804,0.118900000000,0.001400000000,0.178400000000,0.014957200000
2011,0.020983747336,0.160353349995,-0.126000000000,0.000500000000,-0.024900000000,0.029624200000
2012,0.158905852417,0.029715719780,0.172900000000,0.000900000000,0.122700000000,0.017410200000
2013,0.321450858581,-0.091045687943,0.230200000000,0.000600000000,0.269900000000,0.015017400000
2014,0.135244216495,0.107461804520,-0.045200000000,0.000300000000,0.248800000000,0.007564900000
2015,0.013788916412,0.012842996710,-0.007600000000,0.000500000000,-0.035100000000,0.007295200000
2016,0.117730808748,0.006905504699,0.032900000000,0.003200000000,0.177900000000,0.020746200000
2017,0.216054814345,0.028017162708,0.271200000000,0.009500000000,0.367500000000,0.021090800000
2018,-0.042268692891,-0.000166923857,-0.140000000000,0.019700000000,-0.030700000000,0.019101600000
2019,0.312116799968,0.096356307415,0.218800000000,0.021100000000,0.523900000000,0.022851300000
2020,0.180232018274,0.113318976466,0.106000000000,0.003600000000,0.483300000000,0.013620100000
2021,0.284688517520,-0.044160344486,0.121500000000,0.000400000000,0.383800000000,0.070364000000
2022,-0.180375059272,-0.178281715383,-0.150400000000,0.020900000000,-0.267700000000,0.064544000000
2023,0.260606849850,0.038800000000,0.160600000000,0.052800000000,0.509900000000,0.033521200000
2024,0.248786112625,-0.016371801437,0.035900000000,0.051800000000,0.481000000000,0.028880600000
2025,0.177236582376,0.077954808708,0.319200000000,0.042100000000,0.279800000000,0.027350800000
